,title,unit,address,price,href
0,满二九龙仓时代上城155万精装修诚意出售看房有钥匙,2室2厅|87m²|低层(共32层)|2016年建造,"九龙仓时代上城天府新区-华阳-牧华路,近剑南大道",155万17735元/m²,https://chengdu.anjuke.com/prop/view/A5196985598?from=filter&spread=commsearch_p&uniqid=pc5f297ab14e1c73.87324578&position=1&kwtype=filter&now_time=1596553905
1,万年场紫东芯座户型通透前后对小区中庭安静不吵闹,2室2厅|85m²|低层(共33层)|2012年建造,成发紫东芯座成华-万年场-双庆路16号,146万17085元/m²,https://chengdu.anjuke.com/prop/view/A5123875641?from=filter&spread=commsearch_p&uniqid=pc5f297ab14e20a0.15973703&position=2&kwtype=filter&now_time=1596553905
2,万科自营次新房业主诚心出售,2室2厅|64m²|低层(共33层)|2012年建造,万科金色海蓉二期武侯-科华路-高阳路38号,187万29219元/m²,https://chengdu.anjuke.com/prop/view/A5058957231?from=filter&spread=commsearch_p&uniqid=pc5f297ab14e2271.78283825&position=3&kwtype=filter&now_time=1596553905
3,满二精装修银诚东方国际南北通透75平88万房东急,2室2厅|75m²|低层(共34层)|2015年建造,银诚东方国际龙泉驿-西河-龙跃商业街78号,88万11696元/m²,https://chengdu.anjuke.com/prop/view/A2044666948?from=filter&spread=commsearch_p&uniqid=pc5f297ab14e2394.01737793&position=4&kwtype=filter&now_time=1596553905
4,2室2厅67平电梯房满二简单装修诚心出售价格可议,2室2厅|67m²|低层(共30层)|2013年建造,海骏达蜀都1号一期北区郫都-郫筒-文信路88号,83.8万12508元/m²,https://chengdu.anjuke.com/prop/view/A5187451600?from=filter&spread=commsearch_p&uniqid=pc5f297ab14e2481.20608748&position=5&kwtype=filter&now_time=1596553905
5,拥金打折欢迎议价置换天府五街锦江小学旁房东自主装修,2室2厅|79m²|低层(共32层)|2010年建造,慕和南道天府新区-华阳-华府大道一段898号,158.9万20114元/m²,https://chengdu.anjuke.com/prop/view/A5159791977?from=filter&spread=commsearch_p&uniqid=pc5f297ab14e2578.73180194&position=6&kwtype=filter&now_time=1596553905
6,（必看好房）峰景里品质小区住家安静房东诚售,2室2厅|80m²|低层(共32层)|2016年建造,万峰城D区峰景里简阳-城东新区-东滨路1208号,85万10575元/m²,https://chengdu.anjuke.com/prop/view/A5134256080?from=filter&spread=commsearch_p&uniqid=pc5f297ab14e2659.99894046&position=7&kwtype=filter&now_time=1596553905
7,门口地铁配套齐全正读成师附小精装大两房拎包入住诚售,2室2厅|86m²|低层(共31层)|2013年建造,华天阳光成华-槐树店-槐树店路31号,135万15589元/m²,https://chengdu.anjuke.com/prop/view/A2063523258?from=filter&spread=commsearch_p&uniqid=pc5f297ab14e2733.37821471&position=8&kwtype=filter&now_time=1596553905
8,锦江区锦江城市花园2期2房81万,2室1厅|52m²|低层(共34层)|2011年建造,"锦江城市花园二期锦江-三圣乡-喜树街668号,牡丹街608号",81万15435元/m²,https://chengdu.anjuke.com/prop/view/A5191515820?from=filter&spread=commsearch_p&uniqid=pc5f297ab14e2818.75572087&position=9&kwtype=filter&now_time=1596553905
9,东山领地一楼带50平米花园清水房有钥匙随时看房,2室2厅|88m²|低层(共31层)|2016年建造,东山领地龙泉驿-航天片区-鲸龙路777号,99万11250元/m²,https://chengdu.anjuke.com/prop/view/A5173737385?from=filter&spread=commsearch_p&uniqid=pc5f297ab14e28f7.61728282&position=10&kwtype=filter&now_time=1596553905
10,东山国际片区绿林书院龙泉龙中对面装修都花了15万出售,2室2厅|70m²|低层(共33层)|2014年建造,绿林书院龙泉驿-总站片区-柏学北路88号,83万11858元/m²,https://chengdu.anjuke.com/prop/view/A5174810852?from=filter&spread=commsearch_p&uniqid=pc5f297ab14e29d4.70939012&position=11&kwtype=filter&now_time=1596553905
11,户型方正带40平大花园，有钥匙，诚心卖（不是1楼）,2室2厅|78m²|低层(共30层)|2014年建造,保利金香槟青羊-外金沙-蜀鑫东路51号,161万20576元/m²,https://chengdu.anjuke.com/prop/view/A5162762295?from=filter&spread=commsearch_p&uniqid=pc5f297ab14e2ab8.66367975&position=12&kwtype=filter&now_time=1596553905
12,劲力蓝色理想2室2厅1卫82.0平米85.00万元,2室2厅|82m²|低层(共33层)|2008年建造,劲力蓝色理想龙泉驿-航天片区-龙工南路888号,85万10366元/m²,https://chengdu.anjuke.com/prop/view/A5160840166?from=filter&spread=commsearch_p&uniqid=pc5f297ab14e2b82.13032364&position=13&kwtype=filter&now_time=1596553905
13,南北通透83平2室2厅精装修居家自住保养好,2室2厅|83m²|低层(共31层)|2013年建造,中国铁建国际城龙泉驿-大面-驿都西路3777号,108万13013元/m²,https://chengdu.anjuke.com/prop/view/A2048817507?from=filter&spread=commsearch_p&uniqid=pc5f297ab14e2c66.04351324&position=14&kwtype=filter&now_time=1596553905
14,低楼层的小户适合你买来孝敬年级大的爸妈,2室2厅|67m²|低层(共33层)|2008年建造,佳兆业丽晶公馆温江-光华大道-花都大道西段318号,93万13881元/m²,https://chengdu.anjuke.com/prop/view/A5185678139?from=filter&spread=commsearch_p&uniqid=pc5f297ab14e2d34.64407286&position=15&kwtype=filter&now_time=1596553905
15,天府新区南湖国际社区一期2房133万,2室2厅|77m²|低层(共34层)|2010年建造,南湖国际社区天府新区-南湖-南湖西路175号,133万17273元/m²,https://chengdu.anjuke.com/prop/view/A5192697280?from=filter&spread=commsearch_p&uniqid=pc5f297ab14e2e07.57063286&position=16&kwtype=filter&now_time=1596553905
