,title,unit,address,price,href
0,首月减免 无中介 牛王庙地铁口 晶蓝半岛 旁边阳光新业天紫界,"5室1厅, 15㎡",龙湖晶蓝半岛B区锦江-九眼桥宏济新路485号,750,https://cd.zu.anjuke.com/fangyuan/1486762498105353?isauction=2&shangquan_id=8302&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuad6nyw6rj7buadBPvN3sHE1nHbVrHbLnzY3n19YnWc3PHELnyDKnHc1nH9vP1b1PjELnEDKnHE3PW0vnWEOrjDkPHndnkDdnHTkTHNQnjTKnikQnTDQnjcKnHNOPWNdnWEYrHTOnTDQTNujsRKjsN72izLMGO4hBstVlU8ml2lbOmBgl2AClpAdTHDKnEDKsHDKTHDzrjbknWbkPjcvrHT3P1DzrHmKP9DKnEDduHbvnyDQPBd6myP-sHEvnjcVmy7hniYvryw6PHDvuH-BnhmKnHc3rHTzrHTYPjb3rHn1P1mknEDQnW9OnjcOnjEYrjNkrHnLrjNvTEDKTEDKsEDKTy6YIZK1rBtfmvE8XMN8myOJIyV-shPfUitfuh78uL-dmy3f0jDfTEDQPH08PWD8nHDLsWczP9DkTHTKTHD_nHcKXLYKnHTkn1mKnHTknHmvPTDLPynOPhwWuiYOnHE3sHwBnjEVmhRbPidhmhuBP1NvuAnYP1DKTHEKTEDkTHDknBkQnjE_rjnkn9DQTyOdUAkKnyDvPjw-myu6n16hnj6WmE&lego_tid=75c96dce-9148-4b04-bed5-fbfb756dc471
1,贝森路双玺小区，五室一厅，主卧带卫生间单间出租，,"3室1厅, 16㎡",双玺青羊-贝森贝森路216号,700,https://cd.zu.anjuke.com/fangyuan/1495512423489544?isauction=2&shangquan_id=8294&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuad6nyw6rj7buadBPvN3sHE1nHbVrHbLnzY3n19YnWc3PHELnyDKPHDzn1b1nWnOPWD1PWmKTHDYrHNdnHcYnWnYrjbdPjEKPHDknTDdnHTkTHD_nHTKnHTzTHDdrHmdPHcYPjbkrHTKn97AEzdEEzdKib_VOlXxOCB4sXhehrB8Gryc-SB6Jrh6VEDQTHDKTiYQTEDQnW9OnjTYnH0OnWn3PjEkrHmQTHmKTHDKuymOPAP6m1bVrjbdmzYYPHcQsHbknHEVP1TduAnvuAc3nHELTHDzrjbknjEQP1b1PHN3rjDYP1nKnHc3rHTkPjDLrHcdnHTQnHN3PTDKTEDKTiYKTE7CIZwk01CfsvPbsMGdsh78pMRouiOWUvYfsvu6UhIOIy78sLTQskDKnHNLsWmQsWDQPz3znWmKnTDkTEDQsjDzTgVqTHDknjnvTHDknjDvPWEKuHm1nAwBuhmVrHbknaYYPyNksHbknhDVnWmdmW01rjDdrAEdTEDYTEDKnTDQnjc_nHT1sj9zrHEKnE78IyQ_THD3njKWPH9OnAFbuWmdn10&lego_tid=e630dbff-9900-45e0-902a-265b738158d5
2,月付！成渝立交凯德广场万科魅力城旁带飘窗采光通风好可做饭,"3室1厅, 12㎡",摩玛新城成华-成渝立交万科北街19号,500,https://cd.zu.anjuke.com/fangyuan/1499307639020544?isauction=2&shangquan_id=14635&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuad6nyw6rj7buadBPvN3sHE1nHbVrHbLnzY3n19YnWc3PHELnyDKPWm3rHbLn1TLnjn3rHNKTHDYrHb1nj0vn1bknWTdPjEKPHDknTDdnHTkTHD_nHTKnHTzTHDdrHmdPHcYPjbkrHTKnk7AEzdEEzdKib_VOlXxOCB4sXhehrB8Gryc-SB6Jrh6VEDQTHDKTiYQTEDQnWbkPH9vPHnzn1mkPHTLn1b1THmKTHDKPvRhuWELPvcVuymvniYYPhD3sH9QPvDVmWFbm191uWuhPHc3THDzrHTdrjmdn1EdPjNLn1bLP1mKnHcOnjN3PWN1PjELrjm1njbQn9DKTEDKTiYKTE7CIZwk01CfsvPbsMGdsh78pMRouiOWUvYfsvu6UhIOIy78sLTQskDKnHNLsWmQsWDQPz3znWmKnTDkTEDQsjDzTgVqTHDknjnvTHDknjDvPWEKrAc1rHu6uWTVmy76nBYYPWEYsH6-uj9VuyN1uhcduAc1nvDOTEDYTEDKnTDQnjc_nHTLsjDYPWndTHDKUMR_UTDQnAwWnHNLPj0vnAuWnh7b&lego_tid=8b396af0-aaa2-4644-8ed8-ee3fb5db33a9
3,金牛区 五块石 龤中介 出门公交站 香江岸小区 标准卧室出租,"5室0厅, 16㎡",香江岸金牛-五块石王贾路22号,600,https://cd.zu.anjuke.com/fangyuan/1382485294211072?isauction=2&shangquan_id=14771&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuad6nyw6rj7buadBPvN3sHE1nHbVrHbLnzY3n19YnWc3PHELnyDKPWn3P1D3PWcdn1EOnWmKTHD1rjcYrjNzrHEznHDkP1cKPjnknTDYn1TkTHD_nHTKnHTzTHDdrHmdPHcYPjbkrHTKPT7AEzdEEzdKib_VOlXxOCB4sXhehrB8Gryc-SB6Jrh6VEDQTHDKTiYQTEDQnWbkPHEOnHEOPj0vrjm3njbvTHmKTHDKnvDzPhRWPAmVPW-BnaYYPjDvsH6-nhNVrANdmW0vPjmdn1D1THDzrHTdPjbQPjbvnHbYP1EYn1nKnHcOnjNYrHDYrHNzP1D3P1EdPkDKTEDKTiYKTE7CIZwk01CfsvPbsMGdsh78pMRouiOWUvYfsvu6UhIOIy78sLTQskDKnHNLsWmQsWDQPz3znWmKnTDkTEDQsjDzTgVqTHDknjnvTHDknjDvPWEKrAcdm1u6rjEVn1mYnaYYmHFWsy7hmhnVmyRhPhnkPARhPW76TEDYTEDKnTDQnjc_nHTdsjDYP10QTHDKUMR_UT7BPhwWPyP-PWFbnjEkPWKB&lego_tid=8b5c6a84-3640-4a2c-afbc-aef6c04ef61a
4,餼餼齤电视塔市二医院春熙路压一付一拎包入住电梯不是公司平台,"3室1厅, 15㎡",长城锦苑锦江-红星路三槐树路3号附29号,700,https://cd.zu.anjuke.com/fangyuan/1446863763053580?isauction=2&shangquan_id=11461&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuad6nyw6rj7buadBPvN3sHE1nHbVrHbLnzY3n19YnWc3PHELnyDKPHD1rjbQrH9dnH9zrjmKTHDYPjm3PWnLPWnkPHndrjTKrjmknTD3PWTkTHD_nHTKnHTzTHDdrHmdPHcYPjbkrHDKPE7AEzdEEzdKib_VOlXxOCB4sXhehrB8Gryc-SB6Jrh6VEDQTHDKTiYQTEDQnWbkPWNOP1DvPjELn1EvPW93THmKTHDKmHKWujE1mH9VPHE1uBYYuyc1sH9zuWbVPHEvrHDQPHm1PjnQTHDzrHTvPHbLnHmdPHcznjEzrj9KnHcOnjmdrH0QPWEvPjD1PWDOn9DKTEDKTiYKTE7CIZwk01CfsvPbsMGdsh78pMRouiOWUvYfsvu6UhIOIy78sLTQskDKnHNLsWmQsWDQPz3znWmKnTDkTEDQsjDzTgVqTHDknjnvTHDknjDvPWEKrHwhm1u6nvcVPyEOuaYYnjDksy7BuWcVuj9OnWm3m1whm10LTEDYTEDKnTDQnjc_nHTYsjDQPjmQTHDKUMR_UTDvuWELPjbOnjDdPWD1uW9Y&lego_tid=94fc6a3b-5d9d-4010-abf2-d89268c4fc77
5,银河花园二期单间出租，没有中介费！,"5室1厅, 12㎡",银河花园2期龙泉驿-恒大绿洲银河路179号,480,https://cd.zu.anjuke.com/fangyuan/1494126070555657?isauction=2&shangquan_id=18354&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuad6nyw6rj7buadBPvN3sHE1nHbVrHbLnzY3n19YnWc3PHELnyDKPWTQnHDOnWNvP1DQrjNKTHDYrHEQnWmkP1TdPHNvPH0Kn1bknTD1rHTkTHD_nHTKnHTzTHDdrHmdPHcYPjbkrHDKP97AEzdEEzdKib_VOlXxOCB4sXhehrB8Gryc-SB6Jrh6VEDQTHDKTiYQTEDQnWbknHNvnj9QPjndnHnvnjTkTHmKTHDKPHwBm1wBmHDVnAnLniYYryuBsH9dmWnVPANkrHFWmWEYPvcLTHDzrHTQPHmkrjDdPj91rjcznj9KnHcOnjDdPWT3nHE3PHEvP1mYrTDKTEDKTiYKTE7CIZwk01CfsvPbsMGdsh78pMRouiOWUvYfsvu6UhIOIy78sLTQskDKnHNLsWmQsWDQPz3znWmKnTDkTEDQsjDzTgVqTHDknjnvTHDknjDvPWEKPARWujNkPhDVnjubmiYYPyc3sycYmWbVPvDvn19vuhnQuW9kTEDYTEDKnTDQnjc_nHT3sjD3n1NYTHDKUMR_UT76n1EYnjbOryFBmvDduWu6&lego_tid=4ecd506a-06da-45b8-b4b9-7a6386fc1f80
6,房东！月付书房地铁口驿都汇吾悦广场带空调女生多可做饭包网物业,"3室2厅, 18㎡",御源大湖区龙泉驿-政务中心驿都大道中路900号,600,https://cd.zu.anjuke.com/fangyuan/1447136699277315?isauction=2&shangquan_id=33482&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuad6nyw6rj7buadBPvN3sHE1nHbVrHbLnzY3n19YnWc3PHELnyDKPH9dnHE1PjDLP1E3P1DKTHDYPj0Qn1mvrHbzP101nHNKPjcknTDYnWTkTHD_nHTKnHTzTHDdrHmdPHcYPjbkrHDKPk7AEzdEEzdKib_VOlXxOCB4sXhehrB8Gryc-SB6Jrh6VEDQTHDKTiYQTEDQnWbkPjNvn19On1nQP1nYPHc3THmKTHDKuWbdnW6WmyDVnvNvmBYYujuBsH91uADVn1FbPWR6uWubPyDvTHDzrHTYPHm1rHDznjc1rjD3nWmKnHcOnjEdPWnOnHDLn1T1n1b3PTDKTEDKTiYKTE7CIZwk01CfsvPbsMGdsh78pMRouiOWUvYfsvu6UhIOIy78sLTQskDKnHNLsWmQsWDQPz3znWmKnTDkTEDQsjDzTgVqTHDknjnvTHDknjDvPWEKm1n3PyFWnhDVP1bduaYYmHnvsyFhuyNVmWcLrHuWmyRbuWmdTEDYTEDKnTDQnjc_nHT3sjn1Pj9zTHDKUMR_UT7Wn103mHEYrANzmHRBujnv&lego_tid=c385bc2a-795d-4a36-bfee-b2796caedf65
7,牛王庙地铁口 无中介 可月付 附近酒吧一条街 阳光新业中心,"5室1厅, 15㎡",龙湖晶蓝半岛B区锦江-九眼桥宏济新路485号,850,https://cd.zu.anjuke.com/fangyuan/1486772208638982?isauction=2&shangquan_id=8302&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuad6nyw6rj7buadBPvN3sHE1nHbVrHbLnzY3n19YnWc3PHELnyDKnHc1nH9vP1b1PjELnEDKnHE3PW0LnWckrjm1rjb3n9DvnjTkTHmknjTKnikQnTDQnjcKnHNOPWNdnWEYrHTOnED3TNujsRKjsN72izLMGO4hBstVlU8ml2lbOmBgl2AClpAdTHDKnEDKsHDKTHDzP10LrHcvrHcdrj0znWTOrHcKP9DKnEDLnjuWnhF6midBPj93sHwhrymVrANLPaYOnWw-mynzrAELrjmKnHcLP10OnWmOPjcOrjE3Pj01P9DQnW0LP1bzPWbYnWnQn10drj0zTEDKTEDKsEDKTy6YIZK1rBtfmvE8XMN8myOJIyV-shPfUitfuh78uL-dmy3f0jDfTEDQPH08PWD8nHDLsWczP9DkTHTKTHD_nHcKXLYKnHTkn1mKnHTknHmvPTDdPvnvuhN1ridWrjEzsHEzryEVmyPWuaY1m1TYuHb3PvNvPvnKTHEKTEDkTHDknBkQnjE_rjnkn9DQTyOdUAkKnHE1m1RbmhcvmHKBPymzrE&lego_tid=57c6fe39-c842-429d-accd-3c04e987e67c
8,成华区 驷马桥 龤中介 可月付 兴元华盛一期带小阳台单间出租,"5室0厅, 15㎡",兴元华盛一期成华-驷马桥荆竹南路266号,550,https://cd.zu.anjuke.com/fangyuan/1495195546166278?isauction=2&shangquan_id=11477&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuad6nyw6rj7buadBPvN3sHE1nHbVrHbLnzY3n19YnWc3PHELnyDKPWn3P1D3PWcdn1EOnWmKTHDYrHNQrHNdPjmQPWmzP19KPHDknTDdnHTkTHD_nHTKnHTzTHDdrHmdPHcYPjbkrHDKrE7AEzdEEzdKib_VOlXxOCB4sXhehrB8Gryc-SB6Jrh6VEDQTHDKTiYQTEDQnW93n1EzP1NOPjTYPjbkP1N1THmKTHDKrjbQPAmknvEVnW66nBYYuj76sycLuhEVPvc3P1u6uyEdPH9kTHDzrj91PjcLPWTvP1DQPH9zP1cKnHc3rjnYnW0vnjNOPHmLn1T3rTDKTEDKTiYKTE7CIZwk01CfsvPbsMGdsh78pMRouiOWUvYfsvu6UhIOIy78sLTQskDKnHNLsWmQsWDQPz3znWmKnTDkTEDQsjDzTgVqTHDknjnvTHDknjDvPWEKmWTYnju-PWTVuH-bPBYYuW-hsy76m10Vn1K-n1bdPymznhFBTEDYTEDKnTDQnjc_nHTLsjDQPj0LTHDKUMR_UT7bnHELPj-bmywbuHbLPHNk&lego_tid=b0406e60-e9d6-4f9f-aac7-30e3955f22bb
9,首月优惠！可月付 房东直租 九眼桥 青青河畔 近兰桂坊,"5室1厅, 16㎡",青青河畔锦江-九眼桥顺江路305号,850,https://cd.zu.anjuke.com/fangyuan/1485367211189256?isauction=2&shangquan_id=8302&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuad6nyw6rj7buadBPvN3sHE1nHbVrHbLnzY3n19YnWc3PHELnyDKnHc1nH9vP1b1PjELnEDKnHE3PHnvP1cQnHD3rHcdP9DvnjTkTHmknjTKnikQnTDQnjcKnHNOPWNdnWEYrHTOnEDQnT7AEzdEEzdKib_VOlXxOCB4sXhehrB8Gryc-SB6Jrh6VEDQTHDKTiYQTEDQnW9Onjc3n1mYP1bkPW9QPWTkTHmKTHDKm1czn1mkP1DVnARbuaYYuWb3sH--m1mVmyn1nyuhPjD1mvmLTHDzrjbknW91PWNQnjDkPWTkrHmKnHc3rHTzrjnvPHDQn1m1nj0znTDKTEDKTiYKTE7CIZwk01CfsvPbsMGdsh78pMRouiOWUvYfsvu6UhIOIy78sLTQskDKnHNLsWmQsWDQPz3znWmKnTDkTEDQsjDzTgVqTHDknjnvTHDknjDvPWEKm19YryD1uHnVryRBmiYYuWmdsyDLnyNVuWcduHnYPjcdnhn1TEDYTEDKnTDQnjc_nHTYsj91njcKnE78IyQ_THEOuyDkuhmdmWP6rj03uAE&lego_tid=c849a3e3-9eba-4f65-a71e-f25e344252c3
